Untitled spreadsheet - Sheet1
Agency,Description,Uploaded on,Saved
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF USAID'S STRE...,2/12/2025,"$25,114,505.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE CONTRACTOR IS TO PROVIC...,2/12/2025,"$18,672,399.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$25,293,812.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,ORGANIZATIONAL AND INDIVIDU...,2/12/2025,"$31,252,779.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SWIFT-5 OTI LIBYA INITIAL F...,2/12/2025,"$132,770,259.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,CATALYZE BLENDED CAPITAL IN...,2/12/2025,"$57,504,153.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,INITIAL OBLIGATION FOR USAI...,2/12/2025,"$32,895,832.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EXPLORE MIDDLE EAST AND NOR...,2/12/2025,"$45,960,893.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TO EXPLORE SWIFT 5-PROGRAMS...,2/12/2025,"$47,878,774.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW RISSA AWARD - AFR BUREA...,2/12/2025,"$33,345,561.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,CREATION OF THE PDEX AWARD,2/12/2025,"$56,906,100.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,GREEN RECOVERY INVESTMENT P...,2/12/2025,"$114,894,279.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,AWARD FOR THE TASA TASK ORD...,2/12/2025,"$18,096,216.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IMPLEMENTATION OF THE CTC G...,2/12/2025,"$42,828,387.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,GLOBAL LEARNING SOLUTIONS &...,2/12/2025,"$17,860,767.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$51,491,953.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TAP EG TECHNICAL ASSISTANCE...,2/12/2025,"$33,223,651.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IMPROVING LEARNING OUTCOMES...,2/12/2025,"$31,527,225.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,INSTITUTIONAL SERVICE CONTR...,2/12/2025,"$20,724,269.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,INSTITUTIONAL SUPPORT CONTR...,2/12/2025,"$20,735,977.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW SCIENCE FOR DEVELOPMENT...,2/12/2025,"$66,896,516.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,BUILDING EVIDENCE FOR DECIS...,2/12/2025,"$43,605,854.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS SOLICIT...,2/12/2025,"$21,184,227.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,BUILDING EVIDENCE FOR DECIS...,2/12/2025,"$43,983,092.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PROVIDE PROCUREMENT SUPPORT...,2/12/2025,"$48,200,761.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID WRES INTERIOR RENOVAT...,2/12/2025,"$19,957,859.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE ACCELERATE ACTIVITY AIM...,2/12/2025,"$64,496,011.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,REFS/CEIC/INFRASTRUCTURE (I...,2/12/2025,"$70,000,089.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IPI/GEWE WORLDWIDE TRAININ...,2/12/2025,"$19,657,633.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,LPA INSTITUTIONAL SUPPORT S...,2/12/2025,"$37,842,311.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SERVICES WILL DIRECTLY ENHA...,2/12/2025,"$25,809,707.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE ASIA FUTURES ACTIVITY I...,2/12/2025,"$143,948,652.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID GREEN TRANSPORTATION ...,2/12/2025,"$9,873,619.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID GREEN ECONOMY PROGRAM...,2/12/2025,"$17,465,297.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE WORKFORCE ACTIVITY WILL...,2/12/2025,"$19,358,346.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS TASK OR...,2/12/2025,"$19,046,259.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PREVENTION AND RESPONSE TO ...,2/12/2025,"$33,732,784.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,BUILDING CLIMATE RESILIENCE...,2/12/2025,"$23,719,776.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/HONDURAS PUBLIC EFFEC...,2/12/2025,"$25,577,564.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$36,991,003.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID LOCAL GOVERNANCE SOLU...,2/12/2025,"$29,187,321.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/OTI INSTITUTIONAL SUP...,2/12/2025,"$44,518,465.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF PSE SCALE IS...,2/12/2025,"$92,024,980.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS TASK OR...,2/12/2025,"$17,552,809.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$43,118,728.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS CONTRACT WILL BE THE P...,2/12/2025,"$19,269,471.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"VETTING ANALYST, WATCH OFFI...",2/12/2025,"$18,717,982.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF GISR MENA IS...,2/12/2025,"$57,924,129.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE GOOD GOVERNANCE ACTIVIT...,2/12/2025,"$29,493,974.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FUTURE (FTF) BANGLADESH INC...,2/12/2025,"$26,986,072.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE FUTURE TECHNOLOGIES ACT...,2/12/2025,"$8,926,870.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,MESA S OBJECTIVE IS TO STRE...,2/12/2025,"$54,036,078.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FINANCIAL SECTOR REFORM ACT...,2/12/2025,"$54,670,092.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID REVENUE AND EXPENDITU...,2/12/2025,"$43,370,754.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IRAQ TOGETHER (MA'N),2/12/2025,"$54,204,539.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS REQUISITION IS TO INIT...,2/12/2025,"$31,783,061.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE TIF ACTIVITY IS A FIVE-...,2/12/2025,"$37,239,309.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"DG: SOLICIT, NEGOTIATE AND ...",2/12/2025,"$39,445,638.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID WEST BANK & GAZA ARCH...,2/12/2025,"$34,500,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID WEST BANK & GAZA ARCH...,2/12/2025,"$51,000,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF USAID BIODIV...,2/12/2025,"$17,596,765.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID/NEPAL EARLY GRADE LEA...,2/12/2025,"$27,127,274.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PACIFIC ISLANDS CLIMATE FIN...,2/12/2025,"$37,359,125.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE REGIONAL TRADE AND INVE...,2/12/2025,"$21,299,733.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE NEXT GENERATION EARLY G...,2/12/2025,"$30,815,140.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID|KENYA AND EAST AFRICA...,2/12/2025,"$40,991,782.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE MEL TASK ORDER PROVIDES...,2/12/2025,"$18,571,181.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE CONTRACTOR SHALL PROVID...,2/12/2025,"$41,313,156.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EMPOWERING EAST AND CENTRAL...,2/12/2025,"$52,736,874.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE AWARD WILL CONTRIBUTE T...,2/12/2025,"$67,858,286.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE EMPOWER NIGERIA PROGRAM...,2/12/2025,"$59,599,256.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW AFRICA INSTITUTIONAL AN...,2/12/2025,"$8,256,415.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,M/MS REQUIRES TECHNICAL AND...,2/12/2025,"$7,208,840.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FAST-FISCAL ACCOUNTABILITY ...,2/12/2025,"$8,005,539.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS TASK OR...,2/12/2025,"$12,776,060.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,DEVELOPMENT AND DELIVERY OF...,2/12/2025,"$6,688,205.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"TO PROVIDE MONITORING, EVAL...",2/12/2025,"$11,249,370.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SCALING UP RENEWABLE ENERGY...,2/12/2025,"$9,478,926.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IN ACCORDANCE WITH THE STAT...,2/12/2025,"$10,169,386.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"EEI/CCS TECHNICAL, OPERATIO...",2/12/2025,"$8,398,733.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS ACTIVITY WOULD BE A CO...,2/12/2025,"$16,699,401.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,UNITED STATES AGENCY FOR IN...,2/12/2025,"$14,833,791.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,TASK ORDER UNDER THE PPL EV...,2/12/2025,"$5,874,345.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE INCLUSIVE DEVELOPMENT A...,2/12/2025,"$12,633,067.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE GOAL OF THE WTS BPA UND...,2/12/2025,"$15,768,245.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FOLLOW-ON SERVIR SUPPORT SE...,2/12/2025,"$7,024,477.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW AWARD CALLED ADVANCING ...,2/12/2025,"$15,314,997.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,CAR ACCOUNTING SUPPORT SERV...,2/12/2025,"$14,550,669.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EUROPE AND EURASIA INSTITUT...,2/12/2025,"$12,989,209.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,GRAPHIC DESIGN SERVICES IN ...,2/12/2025,"$184,013.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PROVIDES EDUCATION TECHNICA...,2/12/2025,"$6,651,393.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$16,439,605.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS CO-CREATION AND CO-DES...,2/12/2025,"$7,099,468.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FIVE YEAR SUBSCRIPTION FOR ...,2/12/2025,"$97,941.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE INITIAL SUB OBLIGATION ...,2/12/2025,"$8,161,145.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID RESILIENCE PLATFORM A...,2/12/2025,"$7,101,220.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"PPD : NEW AWARD - DATA, EVA...",2/12/2025,"$6,497,546.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID LIBERIA ESSA SEEKS TO...,2/12/2025,"$8,998,782.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,DRG: THE PURPOSE OF THIS AC...,2/12/2025,"$10,922,539.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$15,656,468.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$7,365,924.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THE USAID SA...,2/12/2025,"$9,285,362.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE OBJECTIVE OF THIS CONTR...,2/12/2025,"$8,572,343.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS TASK OR...,2/12/2025,"$8,831,784.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,MESCLA 2.0 - MONITORING AND...,2/12/2025,"$8,637,825.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SERVICES REQUESTED INCLUDE ...,2/12/2025,"$5,609,563.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID GOVERNANCE AND ACCOUN...,2/12/2025,"$2,884,730.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,REQUEST FOR BPA CALL ORDER ...,2/12/2025,"$21,765.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID INVESTMENT PROMOTION ...,2/12/2025,"$11,742,643.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS ACTIVIT...,2/12/2025,"$12,148,410.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE GOAL PURSUED IN THE USA...,2/12/2025,"$9,876,497.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE HUMAN RIGHTS FOR PEACE ...,2/12/2025,"$9,279,255.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,SUPPORT RELIEF GROUP RESPON...,2/12/2025,"$23,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,NEW PSC AWARD TO SERVE AS A...,2/12/2025,"$48,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,STRATEGIC PLANNING AND ACTI...,2/12/2025,"$15,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,STRATEGIC PLANNING AND ACTI...,2/12/2025,"$21,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,LANGUAGE TRAINING SERVICES ...,2/12/2025,"$6,361,474.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,OTI M&E INITIAL PLACEHOLDER...,2/12/2025,"$7,708,175.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS MOD IS ...,2/12/2025,"$305,240.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,RELIEF SUPPLIER- BLANKET PU...,2/12/2025,"$30,000,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IN PARTNERSHIP WITH PROSPER...,2/12/2025,"$159,521,884.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,ASL INTERPRETING/CART/NOTET...,2/12/2025,"$5,226,148.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,RICHT- BLANKET PURCHASE AGR...,2/12/2025,"$30,000,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,CFO/CMP FINANCIAL SERVICES ...,2/12/2025,"$15,885,065.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE SENIOR EVIDENCE UTILIZA...,2/12/2025,"$701,064.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"""THE LINGUISTIC SERVICES BP...",2/12/2025,$1.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,"""THE LINGUISTIC SERVICES BP...",2/12/2025,$1.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PLR/LER NEW RESEARCH AND AN...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS AWARD W...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE SENIOR E&L PROGRAM SPEC...,2/12/2025,"$785,246.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,EPP PROGRAM SUPPORT SPECIAL...,2/12/2025,"$741,710.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS CONTRAC...,2/12/2025,"$920,127.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PPL/LER NEW IDIQS,2/12/2025,"$654,990,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PPL PROGRAM CYCLE AWARD,2/12/2025,"$1,838,383.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,INITIAL REQ FOR STRATEGIC P...,2/12/2025,"$29,836,021.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,USAID NETWORK ASSESSMENT,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS IS A NEW ACQUISITION F...,2/12/2025,"$308,850.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,INFOBLOX TRINZIC SOFTWARE L...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,WINZIP RENEWAL,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,DOCUMENTUM SOFTWARE LICENSE...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,PART # VALIMAIL ENFORCE DES...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS REQUEST...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,JOE SANDBOX CLOUD PRO ACCOUNT,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS REQUEST...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS PRE-OBLIGATION CHECKLI...,2/12/2025,"$4,995,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS PRE-OBLIGATION CHECKLI...,2/12/2025,"$4,995,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THIS PRE-OBLIGATION CHECKLI...,2/12/2025,"$5,845,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,IDIQ # 1: NORTHERN REGION -...,2/12/2025,"$28,000,000.00"
US AGENCY FOR INTERNATIONAL DEVELOPMENT,FINANCIAL AUDITING SERVICES...,2/12/2025,$0.00
US AGENCY FOR INTERNATIONAL DEVELOPMENT,THE PURPOSE OF THIS REQUISI...,2/12/2025,$0.00
